Total AP information:
fault : fault           [63]
idle  : idle            [9]
nor   : normal          [2303]
ExtraInfo : Extra information
P     : insufficient power supply
---------------------------------------------------------------------------------------------------------------------------------------------------------------
ID    MAC            Name                                Group                   IP              Type            State  STA Uptime           ExtraInfo
38    8866-3904-1b00 MSK-UPO-13-FL03_AP11                MSK-UPO-13-FL01-ONLY_5G 10.14.8.132     AP6150DN        nor    2   134D:16H:48M:41S -
39    8866-3903-ebc0 MSK-UPO-13-FL02_EBC0                MSK-UPO-13-FL02         10.14.8.36      AP6150DN        nor    0   114D:16H:56M:49S -
40    7079-90bb-a540 MSK-UPO-13-FL01_AP02                MSK-UPO-13-FL01         10.14.8.39      AP6150DN        nor    3   134D:16H:58M:53S -
41    8866-3903-e5a0 MSK-UPO-13-FL02_E5A0                MSK-UPO-13-FL02         10.14.8.42      AP6150DN        nor    0   114D:16H:56M:57S -
42    8866-3903-e120 MSK-UPO-13-FL02_E120                MSK-UPO-13-FL02         10.14.8.43      AP6150DN        nor    0   114D:16H:56M:55S -
43    c0bf-c0a6-c920 MSK-UPO-13-FL01_AP05                MSK-UPO-13-FL01         10.14.8.35      AP6150DN        nor    4   134D:16H:56M:35S -
44    c0bf-c0a6-cda0 MSK-UPO-13-FL01_AP06                MSK-UPO-13-FL01         10.14.8.28      AP6150DN        nor    4   134D:16H:55M:54S -
45    c0bf-c0a6-cac0 MSK-UPO-13-FL01_AP10                MSK-UPO-13-FL01         10.14.8.21      AP6150DN        nor    0   134D:16H:56M:14S -
46    bc62-0e2f-96a0 MSK-UPO-13-FL02_96A0                MSK-UPO-13-FL02         10.14.8.41      AP5030DN        nor    0   114D:16H:56M:48S -
47    8866-3904-1c40 MSK-UPO-13-FL03_AP10                MSK-UPO-13-FL01-ONLY_5G 10.14.8.5       AP6150DN        nor    0   134D:16H:48M:5S  -
48    c0bf-c0a6-ce00 MSK-UPO-13-FL01_AP07                MSK-UPO-13-FL01         10.14.8.29      AP6150DN        nor    2   134D:16H:55M:23S -
49    7079-90bb-a580 MSK-UPO-13-FL01_AP04                MSK-UPO-13-FL01         10.14.8.44      AP6150DN        nor    5   134D:16H:58M:12S -
50    c0bf-c0a6-c720 MSK-UPO-13-FL01_AP03                MSK-UPO-13-FL01         10.14.8.30      AP6150DN        nor    3   134D:16H:57M:25S -
51    8866-3903-e580 MSK-UPO-13-FL02_E580                MSK-UPO-13-FL02         10.14.8.38      AP6150DN        nor    0   114D:16H:56M:51S -
52    8866-3904-1ba0 MSK-UPO-13-FL03_AP08                MSK-UPO-13-FL03         10.14.8.129     AP6150DN        nor    3   134D:16H:51M:58S -
53    8866-3903-e140 MSK-UPO-13-FL02_E140                MSK-UPO-13-FL02         10.14.8.37      AP6150DN        nor    0   114D:16H:56M:55S -
54    8866-3904-24e0 MSK-UPO-13-FL03_AP19                MSK-UPO-13-FL01-ONLY_5G 10.14.8.134     AP6150DN        nor    6   134D:16H:47M:11S -
55    8866-3903-ebe0 MSK-UPO-13-FL02_EBE0                MSK-UPO-13-FL02         10.14.8.40      AP6150DN        nor    0   114D:16H:56M:53S -
56    04b0-e749-f0a0 MSK-UPO-13-FL03_AP24                MSK-UPO-13-FL03         10.14.8.7       AP6150DN        nor    0   134D:16H:53M:51S -
57    c0bf-c0a6-c680 MSK-UPO-13-FL01_AP09                MSK-UPO-13-FL01         10.14.8.33      AP6150DN        nor    0   134D:16H:57M:42S -
58    04b0-e74a-2100 MSK-UPO-13-FL02_2100                MSK-UPO-13-FL02         10.14.8.16      AP6150DN        nor    1   114D:16H:56M:46S -
59    04b0-e749-e200 MSK-UPO-13-FL03_AP21                MSK-UPO-13-FL03         10.14.8.13      AP6150DN        nor    0   134D:16H:54M:41S -
60    a8ca-7bb8-2780 UP-3.3.3-2780                       MSK-UPO-01-FLXX         10.14.4.134     AP5030DN        nor    1   15D:17H:42M:27S  -
61    745a-aae4-2aa0 745a-aae4-2aa0                      MSK-UPO-01-FLXX         10.14.4.7       AP5130DN        nor    0   10D:8H:52M:13S   -
62    8866-3904-0c80 UPO12-B03-FL04_0c80                 MSK-UPO-01-FLXX         10.14.4.2       AP6150DN        nor    2   15D:17H:42M:25S  -
63    745a-aae4-3020 745a-aae4-3020                      MSK-UPO-01-FLXX         10.14.4.147     AP5130DN        nor    0   15D:17H:42M:26S  -
64    04b0-e749-e9a0 UPO12-B03-FL02-AP-13                MSK-UPO-03-FL02         10.14.4.20      AP6150DN        nor    3   126D:16H:43M:20S -
65    04b0-e749-eca0 UPO12-B03-FL02-AP-04                MSK-UPO-MONITOR         10.14.4.19      AP6150DN        nor    0   126D:16H:15M:21S -
66    04b0-e749-e3a0 UPO12-B01-FL05-AP-23                MSK-UPO-01-FLXX         10.14.1.117     AP6150DN        nor    2   15D:16H:48M:8S   -
67    8866-3904-2420 UPO12-B03-FL03_2420                 MSK-UPO-01-FLXX         10.14.4.14      AP6150DN        nor    4   15D:17H:42M:23S  -
68    04b0-e749-e980 UPO12-B03-FL03_e980                 MSK-UPO-01-FLXX         10.14.4.10      AP6150DN        nor    2   15D:17H:42M:24S  -
69    8866-3904-0820 UPO12-B03-FL03_0820                 MSK-UPO-01-FLXX         10.14.4.13      AP6150DN        nor    0   15D:17H:42M:23S  -
70    8866-3904-2400 UPO12-B03-FL03_2400                 MSK-UPO-01-FLXX         10.14.4.17      AP6150DN        nor    2   15D:17H:42M:22S  -
71    bc62-0e2f-9300 bc62-0e2f-9300                      MSK-UPO-01-FLXX         10.14.4.12      AP5030DN        nor    0   15D:17H:42M:23S  -
72    8866-3904-09a0 UPO12-B03-FL03_09a0                 MSK-UPO-01-FLXX         10.14.4.146     AP6150DN        nor    1   15D:17H:42M:22S  -
73    8866-3904-1e40 UPO12-B03-FL03_1e40                 MSK-UPO-01-FLXX         10.14.4.3       AP6150DN        nor    1   15D:17H:42M:22S  -
74    04b0-e749-ebc0 UPO12-B03-FL02-AP-02                MSK-UPO-03-FL02         10.14.4.22      AP6150DN        nor    7   126D:16H:43M:26S -
75    04b0-e749-ed40 04b0-e749-ed40                      MSK-UPO-01-FLXX         10.14.4.18      AP6150DN        nor    9   15D:17H:42M:20S  -
76    04b0-e749-e8e0 UPO12-B03-FL03_e8e0                 MSK-UPO-01-FLXX         10.14.4.21      AP6150DN        nor    0   15D:17H:42M:20S  -
77    8866-3904-0720 UPO12-B03-FL03_0720                 MSK-UPO-01-FLXX         10.14.4.26      AP6150DN        nor    1   15D:17H:37M:27S  -
78    04b0-e749-ed20 04b0-e749-ed20                      MSK-UPO-01-FLXX         10.14.4.148     AP6150DN        nor    0   15D:17H:42M:20S  -
79    04b0-e749-ea40 UPO12-B03-FL03_ea40                 MSK-UPO-01-FLXX         10.14.4.139     AP6150DN        nor    0   15D:17H:42M:19S  -
80    8866-3903-de40 8866-3903-de40                      MSK-UPO-01-FLXX         10.14.4.1       AP6150DN        nor    0   15D:17H:42M:17S  -
81    8866-3904-2340 UPO12-B03-FL03_2340                 MSK-UPO-01-FLXX         10.14.4.11      AP6150DN        nor    0   15D:17H:42M:17S  -
82    8866-3904-0540 UPO12-B01-FL04-AP-01                MSK-UPO-01-FLXX         10.14.1.124     AP6150DN        nor    0   15D:16H:48M:7S   -
83    8866-3904-0fa0 UPO12-B01-FL02-AP-26                MSK-UPO-01-FLXX         10.14.1.121     AP6150DN        nor    0   15D:16H:48M:6S   -
84    8866-3904-0f80 UPO12-B01-FL02-AP-24                MSK-UPO-01-FLXX         10.14.1.120     AP6150DN        nor    3   15D:16H:48M:5S   -
85    04b0-e749-e7c0 UPO12-B01-FL03-AP-20                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.119     AP6150DN        nor    6   15D:16H:48M:6S   -
86    04b0-e749-e800 04b0-e749-e800                      MSK-UPO-01-FLXX         10.14.4.138     AP6150DN        nor    0   15D:17H:42M:15S  -
87    8866-3903-fb60 8866-3903-fb60                      MSK-UPO-01-FLXX         10.14.4.24      AP6150DN        nor    0   15D:17H:42M:14S  -
88    8866-3904-0ba0 UPO12-B03-FL04_0ba0                 MSK-UPO-01-FLXX         10.14.4.133     AP6150DN        nor    2   15D:17H:42M:12S  -
89    04b0-e749-e680 UPO12-B01-FL03-AP-21                MSK-UPO-01-FLXX         10.14.1.122     AP6150DN        nor    1   15D:16H:48M:4S   -
90    04b0-e749-eac0 UPO12-B03-FL02-AP-06                MSK-UPO-03-FL02         10.14.4.127     AP6150DN        nor    0   126D:16H:43M:44S -
91    04b0-e749-ea20 UPO12-B03-FL02-AP-07                MSK-UPO-12A-ATV         10.14.4.144     AP6150DN        nor    2   126D:17H:11M:15S -
92    8866-3904-0c60 UPO12-B03-FL04_0c60                 MSK-UPO-01-FLXX         10.14.4.145     AP6150DN        nor    1   15D:17H:42M:12S  -
93    8866-3904-01a0 UPO12-B01-FL02-AP-29                MSK-UPO-MONITOR         10.14.1.118     AP6150DN        nor    0   15D:16H:48M:6S   -
94    04b0-e749-eda0 UPO12-B03-FL02-AP-08                MSK-UPO-03-FL02         10.14.4.136     AP6150DN        nor    1   126D:16H:43M:32S -
95    04b0-e749-e840 04b0-e749-e840                      MSK-UPO-01-FLXX         10.14.4.129     AP6150DN        nor    5   14D:9H:37M:13S   -
96    04b0-e749-eb40 UPO12-B03-FL02-AP-05                MSK-UPO-03-FL02         10.14.4.128     AP6150DN        nor    0   126D:16H:43M:44S -
97    8866-3904-2220 UPO12-B03-FL03_2220                 MSK-UPO-01-FLXX         10.14.4.143     AP6150DN        nor    0   15D:17H:42M:11S  -
98    8866-3904-23a0 UPO12-B03-FL03_23a0                 MSK-UPO-01-FLXX         10.14.4.130     AP6150DN        nor    1   15D:17H:42M:10S  -
99    04b0-e749-e940 UPO12-B03-FL03_e940                 MSK-UPO-01-FLXX         10.14.4.5       AP6150DN        nor    1   15D:17H:42M:9S   -
100   04b0-e749-e600 UPO12-B03-FL03_e600                 MSK-UPO-01-FLXX         10.14.4.141     AP6150DN        nor    0   15D:17H:42M:8S   -
101   8866-3904-2440 UPO12-B03-FL03_2440                 MSK-UPO-01-FLXX         10.14.4.4       AP6150DN        nor    0   15D:17H:42M:8S   -
102   8866-3904-0b60 UPO12-B03-FL04_0b60                 MSK-UPO-01-FLXX         10.14.4.27      AP6150DN        nor    2   14D:15H:46M:12S  -
103   04b0-e749-ebe0 04b0-e749-ebe0                      MSK-UPO-01-FLXX         10.14.4.131     AP6150DN        nor    8   15D:17H:42M:5S   -
104   8866-3903-de00 8866-3903-de00                      MSK-UPO-01-FLXX         10.14.4.142     AP6150DN        nor    0   15D:17H:42M:4S   -
105   8866-3904-0340 UPO12-B03-FL03_0340                 MSK-UPO-01-FLXX         10.14.4.140     AP6150DN        nor    0   15D:17H:42M:4S   -
106   bc62-0e2f-67a0 bc62-0e2f-67a0                      MSK-UPO-01-FLXX         10.14.1.96      AP5030DN        nor    0   15D:16H:48M:1S   -
107   8866-3904-0c40 UPO12-B03-FL04_0c40                 MSK-UPO-01-FLXX         10.14.4.15      AP6150DN        nor    2   15D:17H:42M:3S   -
108   8866-3903-fb20 UPO12-B03-FL04_fb20                 MSK-UPO-01-FLXX         10.14.4.16      AP6150DN        nor    0   15D:17H:42M:3S   -
109   8866-3903-dee0 8866-3903-dee0                      MSK-UPO-01-FLXX         10.14.4.23      AP6150DN        nor    0   15D:17H:42M:3S   -
110   8866-3903-faa0 8866-3903-faa0                      MSK-UPO-01-FLXX         10.14.4.132     AP6150DN        nor    0   15D:17H:42M:2S   -
111   8866-3904-0c00 UPO12-B03-FL04_0c00                 MSK-UPO-01-FLXX         10.14.4.126     AP6150DN        nor    4   15D:17H:42M:2S   -
112   8866-3904-08c0 UPO12-B01-FL06-AP-11                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.123     AP6150DN        nor    6   15D:16H:48M:3S   -
113   8866-3903-df60 UPO12-B01-FL07-AP-15                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.108     AP6150DN        nor    1   15D:16H:47M:58S  -
114   8866-3904-0300 UPO12-B01-FL02-AP-23                MSK-UPO-MONITOR         10.14.1.109     AP6150DN        nor    0   15D:16H:47M:58S  -
115   8866-3904-0620 UPO12-B01-FL04-AP-02                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.116     AP6150DN        nor    0   15D:16H:47M:56S  -
116   04b0-e749-eb20 UPO12-B01-FL06-AP-21                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.114     AP6150DN        nor    6   15D:16H:47M:54S  -
117   8866-3904-0840 8866-3904-0840                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.102     AP6150DN        nor    1   15D:16H:47M:54S  -
118   8866-3904-0360 UPO12-B01-FL02-AP-11                MSK-UPO-01-FLXX         10.14.1.115     AP6150DN        nor    2   15D:16H:47M:53S  -
119   04b0-e749-e7e0 04b0-e749-e7e0                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.105     AP6150DN        nor    1   15D:16H:47M:51S  -
120   8866-3904-0280 UPO12-B01-FL02-AP-20                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.107     AP6150DN        nor    0   15D:16H:47M:50S  -
