UPO12-B01-FL02-AP-24, 8866-3904-0f80, 10.14.1.120 
UPO12-B01-FL03-AP-20, 04b0-e749-e7c0, 10.14.1.119 
04b0-e749-e800, 04b0-e749-e800, 10.14.4.138 
8866-3903-fb60, 8866-3903-fb60, 10.14.4.24 
UPO12-B03-FL04_0ba0, 8866-3904-0ba0, 10.14.4.133 
UPO12-B01-FL03-AP-21, 04b0-e749-e680, 10.14.1.122 
UPO12-B03-FL02-AP-06, 04b0-e749-eac0, 10.14.4.127 
UPO12-B03-FL02-AP-07, 04b0-e749-ea20, 10.14.4.144 
UPO12-B03-FL04_0c60, 8866-3904-0c60, 10.14.4.145 
UPO12-B01-FL02-AP-29, 8866-3904-01a0, 10.14.1.118 
UPO12-B03-FL02-AP-08, 04b0-e749-eda0, 10.14.4.136 
04b0-e749-e840, 04b0-e749-e840, 10.14.4.129 
UPO12-B03-FL02-AP-05, 04b0-e749-eb40, 10.14.4.128 
UPO12-B03-FL03_2220, 8866-3904-2220, 10.14.4.143 
UPO12-B03-FL03_23a0, 8866-3904-23a0, 10.14.4.130 
UPO12-B03-FL03_e940, 04b0-e749-e940, 10.14.4.5 
UPO12-B03-FL03_e600, 04b0-e749-e600, 10.14.4.141 
UPO12-B03-FL03_2440, 8866-3904-2440, 10.14.4.4 
UPO12-B03-FL04_0b60, 8866-3904-0b60, 10.14.4.27 
04b0-e749-ebe0, 04b0-e749-ebe0, 10.14.4.131 
8866-3903-de00, 8866-3903-de00, 10.14.4.142 
UPO12-B03-FL03_0340, 8866-3904-0340, 10.14.4.140 
bc62-0e2f-67a0, bc62-0e2f-67a0, 10.14.1.96 
UPO12-B03-FL04_0c40, 8866-3904-0c40, 10.14.4.15 
UPO12-B03-FL04_fb20, 8866-3903-fb20, 10.14.4.16 
8866-3903-dee0, 8866-3903-dee0, 10.14.4.23 
8866-3903-faa0, 8866-3903-faa0, 10.14.4.132 
UPO12-B03-FL04_0c00, 8866-3904-0c00, 10.14.4.126 
UPO12-B01-FL06-AP-11, 8866-3904-08c0, 10.14.1.123 
UPO12-B01-FL07-AP-15, 8866-3903-df60, 10.14.1.108 
UPO12-B01-FL02-AP-23, 8866-3904-0300, 10.14.1.109 
UPO12-B01-FL04-AP-02, 8866-3904-0620, 10.14.1.116 
UPO12-B01-FL06-AP-21, 04b0-e749-eb20, 10.14.1.114 
8866-3904-0840, 8866-3904-0840, 10.14.1.102 
UPO12-B01-FL02-AP-11, 8866-3904-0360, 10.14.1.115 
04b0-e749-e7e0, 04b0-e749-e7e0, 10.14.1.105 
UPO12-B01-FL02-AP-20, 8866-3904-0280, 10.14.1.107 
UPO12-B01-FL04-AP-09, 04b0-e749-ec60, 10.14.1.111 
UPO12-B01-FL04-AP-15, 8866-3904-1d00, 10.14.1.101 
UPO12-B01-FL02-AP-04, 8866-3904-23e0, 10.14.1.112 
SPB-9055-1871-CCC-AP.2B80, a08c-f8d2-2b80, 100.120.245.20 
UPO12-B01-FL03-AP-14, 04b0-e749-ec80, 10.14.1.100 
UPO12-B01-FL04-AP-26, 8866-3904-0780, 10.14.1.103 
