88:66:39:04:05:40,UPO12-B01-FL04-AP-01,10.14.1.124
88:66:39:04:0f:a0,UPO12-B01-FL02-AP-26,10.14.1.121
88:66:39:04:0f:80,UPO12-B01-FL02-AP-24,10.14.1.120
04:b0:e7:49:e7:c0,UPO12-B01-FL03-AP-20,10.14.1.119
04:b0:e7:49:e8:00,04b0-e749-e800,10.14.4.138
88:66:39:03:fb:60,8866-3903-fb60,10.14.4.24
88:66:39:04:0b:a0,UPO12-B03-FL04_0ba0,10.14.4.133
04:b0:e7:49:e6:80,UPO12-B01-FL03-AP-21,10.14.1.122
04:b0:e7:49:ea:c0,UPO12-B03-FL02-AP-06,10.14.4.127
04:b0:e7:49:ea:20,UPO12-B03-FL02-AP-07,10.14.4.144
88:66:39:04:0c:60,UPO12-B03-FL04_0c60,10.14.4.145
88:66:39:04:01:a0,UPO12-B01-FL02-AP-29,10.14.1.118
04:b0:e7:49:ed:a0,UPO12-B03-FL02-AP-08,10.14.4.136
04:b0:e7:49:e8:40,04b0-e749-e840,10.14.4.129
04:b0:e7:49:eb:40,UPO12-B03-FL02-AP-05,10.14.4.128
88:66:39:04:22:20,UPO12-B03-FL03_2220,10.14.4.143
88:66:39:04:23:a0,UPO12-B03-FL03_23a0,10.14.4.130
04:b0:e7:49:e9:40,UPO12-B03-FL03_e940,10.14.4.5
04:b0:e7:49:e6:00,UPO12-B03-FL03_e600,10.14.4.141
88:66:39:04:24:40,UPO12-B03-FL03_2440,10.14.4.4
88:66:39:04:0b:60,UPO12-B03-FL04_0b60,10.14.4.27
04:b0:e7:49:eb:e0,04b0-e749-ebe0,10.14.4.131
88:66:39:03:de:00,8866-3903-de00,10.14.4.142
88:66:39:04:03:40,UPO12-B03-FL03_0340,10.14.4.140
bc:62:0e:2f:67:a0,bc62-0e2f-67a0,10.14.1.96
88:66:39:04:0c:40,UPO12-B03-FL04_0c40,10.14.4.15
88:66:39:03:fb:20,UPO12-B03-FL04_fb20,10.14.4.16
88:66:39:03:de:e0,8866-3903-dee0,10.14.4.23
88:66:39:03:fa:a0,8866-3903-faa0,10.14.4.132
88:66:39:04:0c:00,UPO12-B03-FL04_0c00,10.14.4.126
88:66:39:04:08:c0,UPO12-B01-FL06-AP-11,10.14.1.123
88:66:39:03:df:60,UPO12-B01-FL07-AP-15,10.14.1.108
88:66:39:04:03:00,UPO12-B01-FL02-AP-23,10.14.1.109
88:66:39:04:06:20,UPO12-B01-FL04-AP-02,10.14.1.116
04:b0:e7:49:eb:20,UPO12-B01-FL06-AP-21,10.14.1.114
88:66:39:04:08:40,8866-3904-0840,10.14.1.102
88:66:39:04:03:60,UPO12-B01-FL02-AP-11,10.14.1.115
04:b0:e7:49:e7:e0,04b0-e749-e7e0,10.14.1.105
88:66:39:04:02:80,UPO12-B01-FL02-AP-20,10.14.1.107
04:b0:e7:49:ec:60,UPO12-B01-FL04-AP-09,10.14.1.111
88:66:39:04:1d:00,UPO12-B01-FL04-AP-15,10.14.1.101
88:66:39:04:23:e0,UPO12-B01-FL02-AP-04,10.14.1.112
a0:8c:f8:d2:2b:80,SPB-9055-1871-CCC-AP.2B80,100.120.245.20
04:b0:e7:49:ec:80,UPO12-B01-FL03-AP-14,10.14.1.100
88:66:39:04:07:80,UPO12-B01-FL04-AP-26,10.14.1.103
88:66:39:04:09:40,UPO12-B01-FL07-AP-04,10.14.1.113
04:b0:e7:49:e7:a0,UPO12-B01-FL03-AP-01,10.14.1.151
a0:8c:f8:d2:2c:40,SPB-9055-AP.1871-CCC-2C40,100.120.245.22
04:b0:e7:49:ee:c0,UPO12-B01-FL03-AP-08,10.14.1.92
88:66:39:04:20:40,UPO12-B01-FL07-AP-28,10.14.1.139
88:66:39:03:e2:60,8866-3903-e260,10.14.1.175
04:25:c5:8b:97:60,0425-c58b-9760,10.14.1.143
04:b0:e7:49:eb:80,UPO12-B01-FL06-AP-19,10.14.1.94
04:b0:e7:49:ea:60,UPO12-B01-FL06-AP-14,10.14.1.91
88:66:39:04:26:40,UPO12-B01-FL06-AP-07,10.14.1.93
04:b0:e7:49:ea:e0,UPO12-B01-FL06-AP-16,10.14.1.104
88:66:39:04:23:00,UPO12-B01-FL04-AP-18,10.14.1.99
04:b0:e7:49:e7:40,UPO12-B01-FL03-AP-05,10.14.1.83
04:b0:e7:49:ed:00,UPO12-B01-FL03-AP-10,10.14.1.88
88:66:39:04:02:60,UPO12-B01-FL02-AP-14,10.14.1.84
04:b0:e7:49:ef:60,UPO12-B01-FL03-AP-19,10.14.1.77
88:66:39:03:fd:c0,UPO12-B01-FL07-AP-08,10.14.1.82
88:66:39:03:dd:60,UPO12-B01-FL07-AP-10,10.14.1.95
04:b0:e7:4a:0c:e0,04b0-e74a-0ce0,10.14.1.90
04:b0:e7:49:e7:60,UPO12-B01-FL03-AP-03,10.14.1.87
04:b0:e7:4a:21:60,UPO12-B01-FL05-AP-18,10.14.1.160
88:66:39:04:08:00,8866-3904-0800,10.14.1.73
88:66:39:04:02:40,UPO12-B01-FL02-AP-12,10.14.1.97
04:b0:e7:49:f0:00,UPO12-B01-FL06-AP-03,10.14.1.79
04:b0:e7:4a:18:a0,UPO12-B01-FL05-AP-25,10.14.1.63
04:b0:e7:49:ee:40,UPO12-B01-FL03-AP-11,10.14.1.75
88:66:39:04:09:00,8866-3904-0900,10.14.1.86
88:66:39:04:09:e0,UPO12-B01-FL07-AP-05,10.14.1.193
88:66:39:04:05:00,UPO12-B01-FL07-AP-06,10.14.1.81
a0:8c:f8:d2:2b:e0,SPB-9055-1871-CCC-AP.2BE0,100.120.245.21
04:b0:e7:49:f0:60,UPO12-B01-FL06-AP-02,10.14.1.178
88:66:39:03:e2:20,UPO12-B01-FL07-AP-12,10.14.1.85
