70:b3:17:52:8e:1a,70:b3:17:71:07:20,MSK-PPK-E-FL05-AP75,10.14.59.21
f4:db:e6:e3:cb:76,70:b3:17:19:f3:c0,MSK-PPK-E-FL14_1-AP09,10.14.50.38
2c:33:11:85:e2:e0,f8:0b:cb:d1:4e:a0,MSK-PPK-E-FL16_2-AP42,10.14.49.11
f4:db:e6:e3:bb:8c,70:b3:17:18:f5:20,MSK-PPK-E-FL14_3-AP67,10.14.50.173
f4:db:e6:e3:bb:70,70:b3:17:18:f3:60,MSK-PPK-E-FL14_1-AP08,10.14.50.1
70:b3:17:a2:8d:12,70:b3:17:98:6a:c0,MSK-PPK-E-FL13_1-AP25,10.14.50.236
70:b3:17:52:af:84,70:b3:17:9d:6b:a0,MSK-PPK-E-FL14_1-AP38,10.14.50.45
70:b3:17:a2:99:bc,70:b3:17:a9:e8:00,MSK-PPK-E-FL14_1-AP37,10.14.50.44
08:96:ad:9d:4a:e2,f8:0b:cb:a8:62:40,MSK-PPK-E-FL02-AP73-CH,10.14.61.2
f4:db:e6:e3:a6:76,70:b3:17:01:ac:e0,MSK-PPK-E-FL05-AP82,10.14.59.22
70:b3:17:52:af:94,70:b3:17:9d:6c:a0,MSK-PPK-E-FL13_1-AP28,10.14.50.235
70:b3:17:52:90:3a,70:b3:17:71:29:20,MSK-PPK-E-FL15_3-AP39,10.14.49.226
70:b3:17:41:1a:78,70:b3:17:8e:27:80,MSK-PPK-E-FL07-AP77,10.14.57.23
70:b3:17:41:18:ac,70:b3:17:8e:0a:c0,MSK-PPK-E-FL05-AP37,10.14.58.217
70:b3:17:41:1b:d6,70:b3:17:8e:3d:60,MSK-PPK-E-FL14_3-AP63,10.14.50.168
70:b3:17:52:90:d8,70:b3:17:71:33:00,MSK-PPK-E-FL14_1-AP36,10.14.50.33
70:b3:17:41:1b:08,70:b3:17:8e:30:80,MSK-PPK-E-FL14_1-AP75,10.14.50.50
70:b3:17:0c:a0:50,70:b3:17:26:c5:00,MSK-PPK-E-FL14_1-AP55,10.14.50.41
f4:db:e6:f4:e9:5c,f4:db:e6:f7:bd:20,BRT-9018-0004-CCC-AP.E95C,100.96.163.198
f4:db:e6:f1:38:e0,f4:db:e6:f3:56:a0,MSK-PPK-E-FL14_1-AP58,10.14.50.40
bc:26:c7:92:2d:fc,00:ea:bd:ff:7f:e0,MSK-PPK-E-FL11-AP62,10.14.53.95
2c:33:11:80:6e:44,f8:0b:cb:a7:61:00,MSK-PPK-E-FL02-AP67-CH,10.14.61.10
f4:db:e6:f1:38:d8,f4:db:e6:f3:56:20,MSK-PPK-E-FL04-AP78,10.14.60.21
f4:db:e6:e3:cd:60,70:b3:17:2a:ed:e0,MSK-PPK-E-FL14_1-AP56,10.14.50.42
b0:8b:cf:f9:52:58,00:ea:bd:b6:02:20,MSK-PPK-E-FL04-AP45,10.14.59.150
f4:db:e6:c1:b9:d4,f4:db:e6:d6:35:40,MSK-PPK-E-FL10-AP38,10.14.53.215
08:96:ad:9d:4a:bc,f8:0b:cb:a8:5f:e0,MSK-PPK-E-FL17-AP01,10.14.49.9
f4:db:e6:e3:b5:14,70:b3:17:18:8d:a0,MSK-PPK-E-FL06-AP71,10.14.58.90
70:b3:17:a2:8d:08,70:b3:17:98:6a:20,MSK-PPK-E-FL13_1-AP27,10.14.50.234
f4:db:e6:f4:ee:ae,f4:db:e6:f8:12:40,MSK-PPK-E-FL14_1-AP48_NEW,10.14.50.54
70:b3:17:41:1b:d2,70:b3:17:8e:3d:20,MSK-PPK-E-FL14_3-AP03,10.14.50.159
