AP_MAC,AP_NAME,AP_ADDRESS,AP_LOCATION
a0:f8:49:e6:29:b0,V19-A-FL03-AP.29B0,10.14.16.7,"г.Москва, ул. Вавилова 19, корп. А, этаж 3"
b0:8b:cf:b9:cd:1c,V19-A-FL21-AP.CD1C,10.14.17.111,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
6c:b2:ae:2e:d7:a2,V19-A-FL01-AP06-CH,10.14.17.7,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
a0:f8:49:e6:29:28,V19-A-FL03-AP.2928,10.14.16.2,"г.Москва, ул. Вавилова 19, корп. А, этаж 3"
78:72:5d:43:d7:72,V19-A-FL25-AP.D772,10.14.17.166,"г.Москва, ул. Вавилова 19, корп. А, этаж 25"
70:df:2f:6d:6a:ba,V19-A-FL26-AP.6aba,10.14.17.169,"г.Москва, ул. Вавилова 19, корп. А, этаж 26"
50:2f:a8:df:5f:68,V19-A-FL02-AP.5F68,10.14.17.22,"г.Москва, ул. Вавилова 19, корп. А, этаж 2"
78:72:5d:43:d7:9c,V19-A-FL23-AP.D79C,10.14.17.131,"г.Москва, ул. Вавилова 19, корп. А, этаж 23"
78:72:5d:43:d7:76,V19-A-FL23-AP.D776,10.14.17.130,"г.Москва, ул. Вавилова 19, корп. А, этаж 23"
78:72:5d:4e:f1:a0,V19-A-FL25-AP.F1A0-BR,10.14.17.167,"г.Москва, ул. Вавилова 19, корп. А, этаж 25"
78:72:5d:46:68:92,AP7872.5D46.6892,10.14.17.16,"г.Москва, ул. Вавилова 19, корп. А,"
bc:26:c7:18:ad:da,V19-A-FL21-AP.ADDA,10.14.17.102,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
78:72:5d:46:68:82,V19-A-FL23-AP.6882,10.14.17.143,"г.Москва, ул. Вавилова 19, корп. А, этаж 23"
50:2f:a8:df:5f:70,V19-A-FL25-AP.5F70,10.14.17.161,"г.Москва, ул. Вавилова 19, корп. А, этаж 25"
78:72:5d:4e:f2:00,V19-A-FL25-AP.F200-BR,10.14.17.168,"г.Москва, ул. Вавилова 19, корп. А, этаж 25"
78:72:5d:f7:10:ac,V19-A-FL24-AP.10AC,10.14.17.145,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
a0:93:51:ec:a7:e8,V19-A-FL22-AP.A7E8,10.14.17.100,"г.Москва, ул. Вавилова 19, корп. А, этаж 22"
a0:f8:49:e4:2f:78,V19-A-FL03-AP.2F78,10.14.16.8,"г.Москва, ул. Вавилова 19, корп. А, этаж 3"
78:72:5d:43:d7:62,AP7872.5D43.D762,10.14.17.121,"г.Москва, ул. Вавилова 19, корп. А,"
78:72:5d:49:d1:04,V19-A-FL22-AP.D104,10.14.17.115,"г.Москва, ул. Вавилова 19, корп. А, этаж 22"
78:72:5d:43:d7:64,V19-A-FL24-AP.D764,10.14.17.136,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
70:69:5a:21:6b:10,V19-A-FL24-AP.6B10,10.14.17.137,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
a0:93:51:ec:a6:c4,V19-A-FL01-AP06-HL,10.14.17.36,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
50:2f:a8:df:5f:66,AP502F.A8DF.5F66,10.14.17.120,"г.Москва, ул. Вавилова 19, корп. А,"
b0:8b:cf:79:56:1a,V19-A-FL21-AP.561A,10.14.17.114,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
a0:f8:49:e6:21:68,V19-A-FL03-AP.2168,10.14.16.1,"г.Москва, ул. Вавилова 19, корп. А, этаж 3"
78:72:5d:43:d7:96,V19-A-FL22-AP.D796,10.14.17.98,"г.Москва, ул. Вавилова 19, корп. А, этаж 22"
6c:b2:ae:2e:d7:72,V19-A-FL01-AP04-CH,10.14.17.3,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
50:2f:a8:df:5f:74,V19-A-FL25-AP.5F74-GO,10.14.17.165,"г.Москва, ул. Вавилова 19, корп. А, этаж 25"
78:72:5d:43:d7:68,V19-A-FL25-AP.D768,10.14.17.162,"г.Москва, ул. Вавилова 19, корп. А, этаж 25"
50:2f:a8:df:5d:bc,V19-A-FL23-AP.5DBC,10.14.17.132,"г.Москва, ул. Вавилова 19, корп. А, этаж 23"
a0:f8:49:e6:29:b8,V19-A-FL03-AP.29B8,10.14.16.6,"г.Москва, ул. Вавилова 19, корп. А, этаж 3"
78:72:5d:46:68:8c,V19-A-FL22-AP.688C,10.14.17.116,"г.Москва, ул. Вавилова 19, корп. А, этаж 22"
6c:b2:ae:2e:d7:60,V19-A-FL01-AP01-CH,10.14.17.1,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
a0:93:51:ec:a7:ea,V19-A-FL01-AP01-HL,10.14.17.11,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
a0:f8:49:e6:44:90,V19-A-FL03-AP.4490,10.14.16.5,"г.Москва, ул. Вавилова 19, корп. А, этаж 3"
78:72:5d:4e:f2:02,V19-A-FL23-AP.F202,10.14.17.142,"г.Москва, ул. Вавилова 19, корп. А, этаж 23"
70:df:2f:6d:6a:b8,V19-A-FL01-AP07-HL,10.14.17.55,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
6c:b2:ae:2e:d7:5c,V19-A-FL01-AP07-CH,10.14.17.20,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
78:72:5d:4e:f1:aa,V19-A-FL22-AP.F1AA,10.14.17.101,"г.Москва, ул. Вавилова 19, корп. А, этаж 22"
6c:b2:ae:2e:d7:6c,V19-A-FL01-AP02-CH,10.14.17.33,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
78:72:5d:49:d1:02,V19-A-FL24-AP.D102,10.14.17.144,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
50:2f:a8:df:5f:6a,V19-A-FL01-AP04-HL,10.14.17.41,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
6c:b2:ae:2e:d7:b2,V19-A-FL01-AP05-CH,10.14.17.4,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
50:2f:a8:df:5f:6e,AP502F.A8DF.5F6E,10.14.16.43,"г.Москва, ул. Вавилова 19, корп. А, этаж 4"
78:72:5d:4e:f2:10,V19-A-FL01-AP05-HL,10.14.17.39,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
78:72:5d:43:d7:86,V19-A-FL24-AP.D786,10.14.17.140,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
78:72:5d:4e:f2:12,V19-A-FL23-AP.F212,10.14.17.129,"г.Москва, ул. Вавилова 19, корп. А, этаж 23"
78:72:5d:46:68:90,V19-A-FL24-AP.6890,10.14.17.146,"г.Москва, ул. Вавилова 19, корп. А, этаж 24"
6c:b2:ae:2e:d8:18,V19-A-FL01-AP03-CH,10.14.17.40,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
78:72:5d:49:d0:d0,V19-A-FL22-AP.D0D0,10.14.17.108,"г.Москва, ул. Вавилова 19, корп. А, этаж 22"
fc:99:47:c8:34:24,V19-A-FL26-AP.3424,10.14.26.1,"г.Москва, ул. Вавилова 19, корп. А, этаж 26"
b0:8b:cf:e9:2e:70,V19-A-FL20-AP.2E70,10.14.17.65,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
fc:99:47:a2:17:74,V19-A-02-007-Timonin.1774,10.14.17.34,"г.Москва, ул. Вавилова 19, корп. А,"
fc:99:47:a2:1d:03,V19-A-02-008-1d03,10.14.17.37,"г.Москва, ул. Вавилова 19, корп. А,"
00:62:ec:f1:43:f0,V19-A-FL22-AP.43F0,10.14.17.149,Неизвестен
a0:e0:af:b0:21:98,V19-A-FL25-AP.2198,10.14.17.170,"г.Москва, ул. Вавилова 19, корп. А, этаж 25"
00:81:c4:fb:3a:f0,V19-A-FL01-AP09-HL,10.14.17.18,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
00:2a:10:6e:67:78,V19-A-FL02-AP.6778,10.14.17.13,"г.Москва, ул. Вавилова 19, корп. А, этаж 2"
00:f6:63:85:68:d4,AP00f6.6385.68d4,10.14.17.9,"г.Москва, ул. Вавилова 19, корп. А,"
00:62:ec:1f:fc:ac,V19-A-FL24-AP.FCAC,10.14.17.150,Неизвестен
2c:d0:2d:7b:e0:34,V19-A-FL01-AP-?,10.14.17.14,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
00:81:c4:fb:3a:ec,AP0081.c4fb.3aec,10.14.17.51,"г.Москва, ул. Вавилова 19, корп. А,"
00:81:c4:fb:3a:fc,AP0081.c4fb.3afc,10.14.17.57,"г.Москва, ул. Вавилова 19, корп. А,"
84:3d:c6:24:b8:68,AP843d.c624.b868,10.14.17.15,"г.Москва, ул. Вавилова 19, корп. А,"
00:81:c4:fb:3a:0c,AP0081.c4fb.3a0c,10.14.17.17,"г.Москва, ул. Вавилова 19, корп. А,"
2c:d0:2d:57:ae:fc,V19-A-FL01-AP12-HL,10.14.17.19,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
84:3d:c6:07:44:24,AP843d.c607.4424,10.14.17.58,"г.Москва, ул. Вавилова 19, корп. А,"
84:3d:c6:65:12:c8,V19-A-FL20-AP.12C8,10.14.17.75,Неизвестен
00:2a:10:6e:67:70,V19-A-FL02-012,10.14.17.38,"г.Москва, ул. Вавилова 19, корп. А, этаж 2"
00:2a:10:6e:67:54,AP002a.106e.6754,10.14.17.42,"г.Москва, ул. Вавилова 19, корп. А,"
84:3d:c6:2b:a2:ac,UPM-SC-AP-03,10.14.17.59,"г.Москва, ул. Вавилова 19, корп. А,"
00:62:ec:1f:fc:d4,AP0062.ec1f.fcd4,10.14.17.45,"г.Москва, ул. Вавилова 19, корп. А,"
00:62:ec:1f:fc:90,AP0062.ec1f.fc90,10.14.17.48,"г.Москва, ул. Вавилова 19, корп. А,"
00:81:c4:fb:39:d0,V19-A-FL23-AP.39d0,10.14.17.151,Неизвестен
38:90:a5:f4:ee:fc,V19-A-FL04-AP.EEFC,10.14.16.9,"г.Москва, ул. Вавилова 19, корп. А, этаж 4"
38:90:a5:f9:42:90,V19-A-FL04-AP.4290,10.14.16.35,"г.Москва, ул. Вавилова 19, корп. А, этаж 4"
00:81:c4:fb:92:c0,V19-A-FL25-AP.92C0,10.14.17.172,Неизвестен
00:2a:10:34:4a:e0,AP002a.1034.4ae0,10.14.17.60,"г.Москва, ул. Вавилова 19, корп. А,"
40:01:7a:ee:f1:74,V19-A-FL04-AP.F174,10.14.16.34,"г.Москва, ул. Вавилова 19, корп. А, этаж 4"
40:01:7a:ee:f1:44,V19-A-FL04-AP.f144,10.14.16.10,"г.Москва, ул. Вавилова 19, корп. А, этаж 4"
84:3d:c6:24:bb:e8,AP843d.c624.bbe8,10.14.17.21,"г.Москва, ул. Вавилова 19, корп. А,"
70:b3:17:41:10:30,MSK-UPO-FL06-TEST-HALL-02,10.14.13.47,"г. Москва, 2-ой Южнопортовый проезд, дом 12А"
