MSK-V19-FL01-RECEPTION-AP.9032, 70:b3:17:52:90:32, 10.14.30.10 
V19-A-FL01-AP04-CH, 6c:b2:ae:2e:d7:72, 10.14.17.3 
V19-A-FL25-AP.5F74-GO, 50:2f:a8:df:5f:74, 10.14.17.165 
V19-A-FL25-AP.D768, 78:72:5d:43:d7:68, 10.14.17.162 
V19-A-FL23-AP.5DBC, 50:2f:a8:df:5d:bc, 10.14.17.132 
V19-A-FL03-AP.29B8, a0:f8:49:e6:29:b8, 10.14.16.6 
V19-A-FL22-AP.688C, 78:72:5d:46:68:8c, 10.14.17.116 
V19-A-FL01-AP01-CH, 6c:b2:ae:2e:d7:60, 10.14.17.1 
V19-A-FL01-AP01-HL, a0:93:51:ec:a7:ea, 10.14.17.11 
V19-A-FL03-AP.4490, a0:f8:49:e6:44:90, 10.14.16.5 
V19-A-FL23-AP.F202, 78:72:5d:4e:f2:02, 10.14.17.142 
V19-A-FL01-AP07-HL, 70:df:2f:6d:6a:b8, 10.14.17.55 
V19-A-FL01-AP07-CH, 6c:b2:ae:2e:d7:5c, 10.14.17.20 
V19-A-FL22-AP.F1AA, 78:72:5d:4e:f1:aa, 10.14.17.101 
V19-A-FL01-AP02-CH, 6c:b2:ae:2e:d7:6c, 10.14.17.33 
V19-A-FL24-AP.D102, 78:72:5d:49:d1:02, 10.14.17.144 
V19-A-FL01-AP04-HL, 50:2f:a8:df:5f:6a, 10.14.17.41 
V19-A-FL01-AP05-CH, 6c:b2:ae:2e:d7:b2, 10.14.17.4 
AP502F.A8DF.5F6E, 50:2f:a8:df:5f:6e, 10.14.16.43 
V19-A-FL01-AP05-HL, 78:72:5d:4e:f2:10, 10.14.17.39 
V19-A-FL24-AP.D786, 78:72:5d:43:d7:86, 10.14.17.140 
V19-A-FL23-AP.F212, 78:72:5d:4e:f2:12, 10.14.17.129 
V19-A-FL24-AP.6890, 78:72:5d:46:68:90, 10.14.17.146 
V19-A-FL01-AP03-CH, 6c:b2:ae:2e:d8:18, 10.14.17.40 
V19-A-FL22-AP.D0D0, 78:72:5d:49:d0:d0, 10.14.17.108 
V19-A-FL26-AP.3424, fc:99:47:c8:34:24, 10.14.26.1 
V19-A-FL20-AP.2E70, b0:8b:cf:e9:2e:70, 10.14.17.65 
V19-A-02-007-Timonin.1774, fc:99:47:a2:17:74, 10.14.17.34 
V19-A-02-008-1d03, fc:99:47:a2:1d:03, 10.14.17.37 
V19-A-FL22-AP.43F0, 00:62:ec:f1:43:f0, 10.14.17.149 
V19-A-FL25-AP.2198, a0:e0:af:b0:21:98, 10.14.17.170 
V19-A-FL01-AP09-HL, 00:81:c4:fb:3a:f0, 10.14.17.18 
V19-A-FL02-AP.6778, 00:2a:10:6e:67:78, 10.14.17.13 
AP00f6.6385.68d4, 00:f6:63:85:68:d4, 10.14.17.9 
V19-A-FL24-AP.FCAC, 00:62:ec:1f:fc:ac, 10.14.17.150 
V19-A-FL01-AP-?, 2c:d0:2d:7b:e0:34, 10.14.17.14 
AP0081.c4fb.3aec, 00:81:c4:fb:3a:ec, 10.14.17.51 
AP0081.c4fb.3afc, 00:81:c4:fb:3a:fc, 10.14.17.57 
AP843d.c624.b868, 84:3d:c6:24:b8:68, 10.14.17.15 
AP0081.c4fb.3a0c, 00:81:c4:fb:3a:0c, 10.14.17.17 
V19-A-FL01-AP12-HL, 2c:d0:2d:57:ae:fc, 10.14.17.19 
AP843d.c607.4424, 84:3d:c6:07:44:24, 10.14.17.58 
V19-A-FL20-AP.12C8, 84:3d:c6:65:12:c8, 10.14.17.75 
V19-A-FL02-012, 00:2a:10:6e:67:70, 10.14.17.38 
AP002a.106e.6754, 00:2a:10:6e:67:54, 10.14.17.42 
UPM-SC-AP-03, 84:3d:c6:2b:a2:ac, 10.14.17.59 
AP0062.ec1f.fcd4, 00:62:ec:1f:fc:d4, 10.14.17.45 
AP0062.ec1f.fc90, 00:62:ec:1f:fc:90, 10.14.17.48 
V19-A-FL23-AP.39d0, 00:81:c4:fb:39:d0, 10.14.17.151 
V19-A-FL04-AP.EEFC, 38:90:a5:f4:ee:fc, 10.14.16.9 
V19-A-FL04-AP.4290, 38:90:a5:f9:42:90, 10.14.16.35 
V19-A-FL25-AP.92C0, 00:81:c4:fb:92:c0, 10.14.17.172 
AP002a.1034.4ae0, 00:2a:10:34:4a:e0, 10.14.17.60 
V19-A-FL04-AP.F174, 40:01:7a:ee:f1:74, 10.14.16.34 
V19-A-FL04-AP.f144, 40:01:7a:ee:f1:44, 10.14.16.10 
AP843d.c624.bbe8, 84:3d:c6:24:bb:e8, 10.14.17.21 
MSK-UPO-FL06-TEST-HALL-02, 70:b3:17:41:10:30, 10.14.13.47 
MSK-UPO-FL06-TEST-HALL-04, 70:b3:17:41:10:34, 10.14.13.44 
MSK-UPO-FL06-TEST-HALL-03, 70:b3:17:52:84:fc, 10.14.13.46 
MSK-UPO-FL06-TEST-HALL-01, 70:b3:17:41:10:2a, 10.14.13.45 
V19-A-02FL-AP-STATUS, 40:ce:24:a4:6a:1a, 10.14.17.10 
V19-A-FL24-AP.687A, 78:72:5d:46:68:7a, 10.14.17.141 
V19-A-FL24-AP.D774, 78:72:5d:43:d7:74, 10.14.17.135 
V19-UB-TEST-AP01, 84:3d:c6:24:93:74, 10.14.26.3 
