Total AP information:
fault : fault           [56]
idle  : idle            [9]
nor   : normal          [2305]
ExtraInfo : Extra information
P     : insufficient power supply
---------------------------------------------------------------------------------------------------------------------------------------------------------------
ID    MAC            Name                                Group                   IP              Type            State  STA Uptime           ExtraInfo
46    bc62-0e2f-96a0 MSK-UPO-13-FL02_96A0                MSK-UPO-13-FL02         10.14.8.41      AP5030DN        nor    1   107D:17H:10M:59S -
47    8866-3904-1c40 MSK-UPO-13-FL03_AP10                MSK-UPO-13-FL01-ONLY_5G 10.14.8.5       AP6150DN        nor    1   127D:17H:2M:16S  -
48    c0bf-c0a6-ce00 MSK-UPO-13-FL01_AP07                MSK-UPO-13-FL01         10.14.8.29      AP6150DN        nor    1   127D:17H:9M:34S  -
49    7079-90bb-a580 MSK-UPO-13-FL01_AP04                MSK-UPO-13-FL01         10.14.8.44      AP6150DN        nor    4   127D:17H:12M:23S -
50    c0bf-c0a6-c720 MSK-UPO-13-FL01_AP03                MSK-UPO-13-FL01         10.14.8.30      AP6150DN        nor    5   127D:17H:11M:36S -
51    8866-3903-e580 MSK-UPO-13-FL02_E580                MSK-UPO-13-FL02         10.14.8.38      AP6150DN        nor    0   107D:17H:11M:2S  -
52    8866-3904-1ba0 MSK-UPO-13-FL03_AP08                MSK-UPO-13-FL03         10.14.8.129     AP6150DN        nor    4   127D:17H:6M:9S   -
53    8866-3903-e140 MSK-UPO-13-FL02_E140                MSK-UPO-13-FL02         10.14.8.37      AP6150DN        nor    0   107D:17H:11M:6S  -
54    8866-3904-24e0 MSK-UPO-13-FL03_AP19                MSK-UPO-13-FL01-ONLY_5G 10.14.8.134     AP6150DN        nor    9   127D:17H:1M:22S  -
55    8866-3903-ebe0 MSK-UPO-13-FL02_EBE0                MSK-UPO-13-FL02         10.14.8.40      AP6150DN        nor    0   107D:17H:11M:4S  -
56    04b0-e749-f0a0 MSK-UPO-13-FL03_AP24                MSK-UPO-13-FL03         10.14.8.7       AP6150DN        nor    0   127D:17H:8M:2S   -
57    c0bf-c0a6-c680 MSK-UPO-13-FL01_AP09                MSK-UPO-13-FL01         10.14.8.33      AP6150DN        nor    0   127D:17H:11M:53S -
58    04b0-e74a-2100 MSK-UPO-13-FL02_2100                MSK-UPO-13-FL02         10.14.8.16      AP6150DN        nor    3   107D:17H:10M:57S -
59    04b0-e749-e200 MSK-UPO-13-FL03_AP21                MSK-UPO-13-FL03         10.14.8.13      AP6150DN        nor    1   127D:17H:8M:52S  -
60    a8ca-7bb8-2780 UP-3.3.3-2780                       MSK-UPO-01-FLXX         10.14.4.134     AP5030DN        nor    2   8D:17H:56M:38S   -
61    745a-aae4-2aa0 745a-aae4-2aa0                      MSK-UPO-01-FLXX         10.14.4.7       AP5130DN        nor    0   3D:9H:6M:24S     -
62    8866-3904-0c80 UPO12-B03-FL04_0c80                 MSK-UPO-01-FLXX         10.14.4.2       AP6150DN        nor    1   8D:17H:56M:36S   -
63    745a-aae4-3020 745a-aae4-3020                      MSK-UPO-01-FLXX         10.14.4.147     AP5130DN        nor    0   8D:17H:56M:37S   -
64    04b0-e749-e9a0 UPO12-B03-FL02-AP-13                MSK-UPO-03-FL02         10.14.4.20      AP6150DN        nor    3   119D:16H:57M:31S -
65    04b0-e749-eca0 UPO12-B03-FL02-AP-04                MSK-UPO-MONITOR         10.14.4.19      AP6150DN        nor    0   119D:16H:29M:32S -
66    04b0-e749-e3a0 UPO12-B01-FL05-AP-23                MSK-UPO-01-FLXX         10.14.1.117     AP6150DN        nor    2   8D:17H:2M:19S    -
67    8866-3904-2420 UPO12-B03-FL03_2420                 MSK-UPO-01-FLXX         10.14.4.14      AP6150DN        nor    1   8D:17H:56M:34S   -
68    04b0-e749-e980 UPO12-B03-FL03_e980                 MSK-UPO-01-FLXX         10.14.4.10      AP6150DN        nor    1   8D:17H:56M:35S   -
69    8866-3904-0820 UPO12-B03-FL03_0820                 MSK-UPO-01-FLXX         10.14.4.13      AP6150DN        nor    0   8D:17H:56M:34S   -
70    8866-3904-2400 UPO12-B03-FL03_2400                 MSK-UPO-01-FLXX         10.14.4.17      AP6150DN        nor    5   8D:17H:56M:33S   -
71    bc62-0e2f-9300 bc62-0e2f-9300                      MSK-UPO-01-FLXX         10.14.4.12      AP5030DN        nor    0   8D:17H:56M:34S   -
72    8866-3904-09a0 UPO12-B03-FL03_09a0                 MSK-UPO-01-FLXX         10.14.4.146     AP6150DN        nor    0   8D:17H:56M:33S   -
73    8866-3904-1e40 UPO12-B03-FL03_1e40                 MSK-UPO-01-FLXX         10.14.4.3       AP6150DN        nor    1   8D:17H:56M:33S   -
74    04b0-e749-ebc0 UPO12-B03-FL02-AP-02                MSK-UPO-03-FL02         10.14.4.22      AP6150DN        nor    6   119D:16H:57M:37S -
75    04b0-e749-ed40 04b0-e749-ed40                      MSK-UPO-01-FLXX         10.14.4.18      AP6150DN        nor    3   8D:17H:56M:31S   -
76    04b0-e749-e8e0 UPO12-B03-FL03_e8e0                 MSK-UPO-01-FLXX         10.14.4.21      AP6150DN        nor    0   8D:17H:56M:31S   -
77    8866-3904-0720 UPO12-B03-FL03_0720                 MSK-UPO-01-FLXX         10.14.4.26      AP6150DN        nor    1   8D:17H:51M:38S   -
78    04b0-e749-ed20 04b0-e749-ed20                      MSK-UPO-01-FLXX         10.14.4.148     AP6150DN        nor    0   8D:17H:56M:31S   -
79    04b0-e749-ea40 UPO12-B03-FL03_ea40                 MSK-UPO-01-FLXX         10.14.4.139     AP6150DN        nor    0   8D:17H:56M:30S   -
80    8866-3903-de40 8866-3903-de40                      MSK-UPO-01-FLXX         10.14.4.1       AP6150DN        nor    0   8D:17H:56M:28S   -
81    8866-3904-2340 UPO12-B03-FL03_2340                 MSK-UPO-01-FLXX         10.14.4.11      AP6150DN        nor    2   8D:17H:56M:28S   -
82    8866-3904-0540 UPO12-B01-FL04-AP-01                MSK-UPO-01-FLXX         10.14.1.124     AP6150DN        nor    0   8D:17H:2M:18S    -
83    8866-3904-0fa0 UPO12-B01-FL02-AP-26                MSK-UPO-01-FLXX         10.14.1.121     AP6150DN        nor    0   8D:17H:2M:17S    -
84    8866-3904-0f80 UPO12-B01-FL02-AP-24                MSK-UPO-01-FLXX         10.14.1.120     AP6150DN        nor    2   8D:17H:2M:16S    -
85    04b0-e749-e7c0 UPO12-B01-FL03-AP-20                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.119     AP6150DN        nor    7   8D:17H:2M:17S    -
86    04b0-e749-e800 04b0-e749-e800                      MSK-UPO-01-FLXX         10.14.4.138     AP6150DN        nor    1   8D:17H:56M:26S   -
87    8866-3903-fb60 8866-3903-fb60                      MSK-UPO-01-FLXX         10.14.4.24      AP6150DN        nor    0   8D:17H:56M:25S   -
88    8866-3904-0ba0 UPO12-B03-FL04_0ba0                 MSK-UPO-01-FLXX         10.14.4.133     AP6150DN        nor    0   8D:17H:56M:23S   -
89    04b0-e749-e680 UPO12-B01-FL03-AP-21                MSK-UPO-01-FLXX         10.14.1.122     AP6150DN        nor    1   8D:17H:2M:15S    -
90    04b0-e749-eac0 UPO12-B03-FL02-AP-06                MSK-UPO-03-FL02         10.14.4.127     AP6150DN        nor    0   119D:16H:57M:55S -
91    04b0-e749-ea20 UPO12-B03-FL02-AP-07                MSK-UPO-12A-ATV         10.14.4.144     AP6150DN        nor    4   119D:17H:25M:26S -
92    8866-3904-0c60 UPO12-B03-FL04_0c60                 MSK-UPO-01-FLXX         10.14.4.145     AP6150DN        nor    3   8D:17H:56M:23S   -
93    8866-3904-01a0 UPO12-B01-FL02-AP-29                MSK-UPO-MONITOR         10.14.1.118     AP6150DN        nor    0   8D:17H:2M:17S    -
94    04b0-e749-eda0 UPO12-B03-FL02-AP-08                MSK-UPO-03-FL02         10.14.4.136     AP6150DN        nor    4   119D:16H:57M:43S -
95    04b0-e749-e840 04b0-e749-e840                      MSK-UPO-01-FLXX         10.14.4.129     AP6150DN        nor    3   7D:9H:51M:24S    -
96    04b0-e749-eb40 UPO12-B03-FL02-AP-05                MSK-UPO-03-FL02         10.14.4.128     AP6150DN        nor    1   119D:16H:57M:55S -
97    8866-3904-2220 UPO12-B03-FL03_2220                 MSK-UPO-01-FLXX         10.14.4.143     AP6150DN        nor    0   8D:17H:56M:22S   -
98    8866-3904-23a0 UPO12-B03-FL03_23a0                 MSK-UPO-01-FLXX         10.14.4.130     AP6150DN        nor    1   8D:17H:56M:21S   -
99    04b0-e749-e940 UPO12-B03-FL03_e940                 MSK-UPO-01-FLXX         10.14.4.5       AP6150DN        nor    2   8D:17H:56M:20S   -
100   04b0-e749-e600 UPO12-B03-FL03_e600                 MSK-UPO-01-FLXX         10.14.4.141     AP6150DN        nor    1   8D:17H:56M:19S   -
101   8866-3904-2440 UPO12-B03-FL03_2440                 MSK-UPO-01-FLXX         10.14.4.4       AP6150DN        nor    0   8D:17H:56M:19S   -
102   8866-3904-0b60 UPO12-B03-FL04_0b60                 MSK-UPO-01-FLXX         10.14.4.27      AP6150DN        nor    1   7D:16H:0M:23S    -
103   04b0-e749-ebe0 04b0-e749-ebe0                      MSK-UPO-01-FLXX         10.14.4.131     AP6150DN        nor    5   8D:17H:56M:16S   -
104   8866-3903-de00 8866-3903-de00                      MSK-UPO-01-FLXX         10.14.4.142     AP6150DN        nor    0   8D:17H:56M:15S   -
105   8866-3904-0340 UPO12-B03-FL03_0340                 MSK-UPO-01-FLXX         10.14.4.140     AP6150DN        nor    0   8D:17H:56M:15S   -
106   bc62-0e2f-67a0 bc62-0e2f-67a0                      MSK-UPO-01-FLXX         10.14.1.96      AP5030DN        nor    0   8D:17H:2M:12S    -
107   8866-3904-0c40 UPO12-B03-FL04_0c40                 MSK-UPO-01-FLXX         10.14.4.15      AP6150DN        nor    4   8D:17H:56M:14S   -
108   8866-3903-fb20 UPO12-B03-FL04_fb20                 MSK-UPO-01-FLXX         10.14.4.16      AP6150DN        nor    0   8D:17H:56M:14S   -
109   8866-3903-dee0 8866-3903-dee0                      MSK-UPO-01-FLXX         10.14.4.23      AP6150DN        nor    0   8D:17H:56M:14S   -
110   8866-3903-faa0 8866-3903-faa0                      MSK-UPO-01-FLXX         10.14.4.132     AP6150DN        nor    0   8D:17H:56M:13S   -
111   8866-3904-0c00 UPO12-B03-FL04_0c00                 MSK-UPO-01-FLXX         10.14.4.126     AP6150DN        nor    5   8D:17H:56M:13S   -
112   8866-3904-08c0 UPO12-B01-FL06-AP-11                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.123     AP6150DN        nor    1   8D:17H:2M:14S    -
113   8866-3903-df60 UPO12-B01-FL07-AP-15                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.108     AP6150DN        nor    1   8D:17H:2M:9S     -
114   8866-3904-0300 UPO12-B01-FL02-AP-23                MSK-UPO-MONITOR         10.14.1.109     AP6150DN        nor    0   8D:17H:2M:9S     -
115   8866-3904-0620 UPO12-B01-FL04-AP-02                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.116     AP6150DN        nor    0   8D:17H:2M:7S     -
116   04b0-e749-eb20 UPO12-B01-FL06-AP-21                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.114     AP6150DN        nor    9   8D:17H:2M:5S     -
117   8866-3904-0840 8866-3904-0840                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.102     AP6150DN        nor    1   8D:17H:2M:5S     -
118   8866-3904-0360 UPO12-B01-FL02-AP-11                MSK-UPO-01-FLXX         10.14.1.115     AP6150DN        nor    4   8D:17H:2M:4S     -
119   04b0-e749-e7e0 04b0-e749-e7e0                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.105     AP6150DN        nor    0   8D:17H:2M:2S     -
120   8866-3904-0280 UPO12-B01-FL02-AP-20                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.107     AP6150DN        nor    0   8D:17H:2M:1S     -
121   04b0-e749-ec60 UPO12-B01-FL04-AP-09                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.111     AP6150DN        nor    1   8D:17H:2M:0S     -
122   8866-3904-1d00 UPO12-B01-FL04-AP-15                MSK-UPO-MONITOR         10.14.1.101     AP6150DN        nor    0   8D:17H:2M:1S     -
123   8866-3904-23e0 UPO12-B01-FL02-AP-04                MSK-UPO-01-FLXX         10.14.1.112     AP6150DN        nor    0   8D:17H:1M:58S    -
124   a08c-f8d2-2b80 SPB-9055-1871-CCC-AP.2B80           CCC-Common-Group        100.120.245.20  AP6150DN        nor    0   4D:9H:19M:21S    -
125   04b0-e749-ec80 UPO12-B01-FL03-AP-14                MSK-UPO-01-FLXX         10.14.1.100     AP6150DN        nor    0   8D:17H:1M:58S    -
126   8866-3904-0780 UPO12-B01-FL04-AP-26                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.103     AP6150DN        nor    0   8D:17H:1M:59S    -
127   8866-3904-0940 UPO12-B01-FL07-AP-04                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.113     AP6150DN        nor    1   8D:17H:1M:58S    -
128   04b0-e749-e7a0 UPO12-B01-FL03-AP-01                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.151     AP6150DN        nor    2   8D:17H:1M:56S    -
129   a08c-f8d2-2c40 SPB-9055-AP.1871-CCC-2C40           CCC-Common-Group        100.120.245.22  AP6150DN        nor    0   4D:9H:18M:45S    -
130   04b0-e749-eec0 UPO12-B01-FL03-AP-08                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.92      AP6150DN        nor    0   8D:17H:1M:56S    -
131   8866-3904-2040 UPO12-B01-FL07-AP-28                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.139     AP6150DN        nor    0   8D:17H:1M:55S    -
132   8866-3903-e260 8866-3903-e260                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.175     AP6150DN        nor    0   8D:17H:1M:55S    -
133   0425-c58b-9760 0425-c58b-9760                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.143     AP6150DN        nor    0   8D:17H:1M:54S    -
134   04b0-e749-eb80 UPO12-B01-FL06-AP-19                default                 10.14.1.94      AP6150DN        nor    0   2D:4H:26M:22S    -
135   04b0-e749-ea60 UPO12-B01-FL06-AP-14                MSK-UPO-MONITOR         10.14.1.91      AP6150DN        nor    0   8D:17H:1M:55S    -
136   8866-3904-2640 UPO12-B01-FL06-AP-07                MSK-UPO-01-FLXX         10.14.1.93      AP6150DN        nor    2   8D:17H:1M:52S    -
137   04b0-e749-eae0 UPO12-B01-FL06-AP-16                default                 10.14.1.104     AP6150DN        nor    0   2D:4H:27M:50S    -
138   8866-3904-2300 UPO12-B01-FL04-AP-18                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.99      AP6150DN        nor    0   8D:17H:1M:54S    -
139   04b0-e749-e740 UPO12-B01-FL03-AP-05                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.83      AP6150DN        nor    2   8D:17H:1M:53S    -
140   04b0-e749-ed00 UPO12-B01-FL03-AP-10                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.88      AP6150DN        nor    1   8D:17H:1M:53S    -
141   8866-3904-0260 UPO12-B01-FL02-AP-14                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.84      AP6150DN        nor    3   8D:17H:1M:52S    -
142   04b0-e749-ef60 UPO12-B01-FL03-AP-19                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.77      AP6150DN        nor    0   8D:17H:1M:52S    -
143   8866-3903-fdc0 UPO12-B01-FL07-AP-08                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.82      AP6150DN        nor    0   8D:17H:1M:53S    -
144   8866-3903-dd60 UPO12-B01-FL07-AP-10                MSK-UPO-01-FLXX         10.14.1.95      AP6150DN        nor    1   8D:17H:1M:50S    -
145   04b0-e74a-0ce0 04b0-e74a-0ce0                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.90      AP6150DN        nor    7   8D:17H:1M:52S    -
146   04b0-e749-e760 UPO12-B01-FL03-AP-03                MSK-UPO-01-FLXX         10.14.1.87      AP6150DN        nor    1   8D:17H:1M:50S    -
147   04b0-e74a-2160 UPO12-B01-FL05-AP-18                MSK-UPO-01-FLXX         10.14.1.160     AP6150DN        nor    4   8D:17H:1M:49S    -
148   8866-3904-0800 8866-3904-0800                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.73      AP6150DN        nor    0   8D:17H:1M:51S    -
149   8866-3904-0240 UPO12-B01-FL02-AP-12                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.97      AP6150DN        nor    1   8D:17H:1M:49S    -
150   04b0-e749-f000 UPO12-B01-FL06-AP-03                MSK-UPO-MONITOR         10.14.1.79      AP6150DN        nor    0   8D:17H:1M:50S    -
151   04b0-e74a-18a0 UPO12-B01-FL05-AP-25                MSK-UPO-MONITOR         10.14.1.63      AP6150DN        nor    0   8D:17H:1M:50S    -
152   04b0-e749-ee40 UPO12-B01-FL03-AP-11                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.75      AP6150DN        nor    0   8D:17H:1M:48S    -
153   8866-3904-0900 8866-3904-0900                      MSK-UPO-01-FLXX         10.14.1.86      AP6150DN        nor    0   8D:17H:1M:46S    -
154   8866-3904-09e0 UPO12-B01-FL07-AP-05                MSK-UPO-MONITOR         10.14.1.193     AP6150DN        nor    0   8D:17H:1M:47S    -
155   8866-3904-0500 UPO12-B01-FL07-AP-06                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.81      AP6150DN        nor    2   8D:17H:1M:48S    -
156   a08c-f8d2-2be0 SPB-9055-1871-CCC-AP.2BE0           CCC-Common-Group        100.120.245.21  AP6150DN        nor    0   4D:9H:18M:46S    -
157   04b0-e749-f060 UPO12-B01-FL06-AP-02                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.178     AP6150DN        nor    0   8D:17H:1M:47S    -
158   8866-3903-e220 UPO12-B01-FL07-AP-12                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.85      AP6150DN        nor    0   8D:17H:1M:47S    -
159   04b0-e749-edc0 UPO12-B01-FL04-AP-10                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.169     AP6150DN        nor    0   8D:17H:1M:46S    -
160   8866-3904-01e0 UPO12-B01-FL02-AP-13                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.78      AP6150DN        nor    2   8D:17H:1M:46S    -
161   04b0-e749-e420 UPO12-B01-FL03-AP-17                MSK-UPO-01-FLXX         10.14.1.67      AP6150DN        nor    1   8D:17H:1M:44S    -
162   8866-3904-02c0 UPO12-B01-FL02-AP-31                MSK-UPO-01-FLXX         10.14.1.71      AP6150DN        nor    1   8D:17H:1M:44S    -
163   8866-3904-0200 UPO12-B01-FL02-AP-15                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.76      AP6150DN        nor    5   8D:17H:1M:45S    -
164   04b0-e749-e4e0 UPO12-B01-FL03-AP-16                MSK-UPO-01-FLXX         10.14.1.60      AP6150DN        nor    0   8D:17H:1M:42S    -
165   04b0-e74a-18e0 UPO12-B01-FL05-AP-09                MSK-UPO-01-FLXX-ONLY_5G 10.14.1.74      AP6150DN        nor    2   8D:17H:1M:42S    -
166   8866-3904-0320 UPO12-B01-FL02-AP-10                MSK-UPO-MONITOR         10.14.1.186     AP6150DN        nor    0   8D:17H:1M:42S    -
167   0425-c58b-96e0 UPO12-B01-FL05-AP-08                MSK-UPO-MONITOR         10.14.1.69      AP6150DN        nor    0   8D:17H:1M:41S    -
168   8866-3904-03e0 UPO12-B01-FL06-AP-10                MSK-UPO-01-FLXX         10.14.1.59      AP6150DN        nor    8   8D:17H:1M:38S    -
169   04b0-e749-e660 04b0-e749-e660                      MSK-UPO-01-FLXX         10.14.1.182     AP6150DN        nor    0   8D:17H:1M:36S    -
170   04b0-e74a-09e0 04b0-e74a-09e0                      MSK-UPO-01-FLXX-ONLY_5G 10.14.1.70      AP6150DN        nor    0   8D:17H:1M:37S    -
171   745a-aae4-2840 745a-aae4-2840                      MSK-UPO-01-FLXX         10.14.1.32      AP5130DN        nor    0   8D:17H:1M:35S    -
172   8866-3904-06a0 UPO12-B01-FL04-AP-12                MSK-UPO-01-FLXX         10.14.1.47      AP6150DN        nor    0   8D:17H:1M:33S    -
